"Age","Blocks","Color"
"Young Adult (20-35)",8,"#008000"
"Toddler (0-4)",5,"#FF0080"
"Young Adult (20-35)",10,"#FF0080"
"Young Adult (20-35)",8,"#FF0080"
"Young Adult (20-35)",10,"#0000FF"
"Young Adult (20-35)",9,"#FFA500"
"Young Child (5-8)",6,"#FF0000"
"Toddler (0-4)",6,"#0000FF"
"Child (9-12)",7,"#800080"
"Young Child (5-8)",7,"#008000"
"Young Child (5-8)",8,"#0000FF"
"Teen (13-19)",10,"#800080"
"Teen (13-19)",10,"#FFA500"
"Toddler (0-4)",7,"#FF0000"
"Young Child (5-8)",8,"#0000FF"
"Child (9-12)",8,"#FF0080"
"Young Child (5-8)",8,"#008000"
"Toddler (0-4)",8,"#0000FF"
"Young Child (5-8)",9,"#FFA500"
"Adult (36-60)",2,"#800080"
"Adult (36-60)",10,"#800080"
"Young Child (5-8)",9,"#800080"
"Young Child (5-8)",9,"#800080"
"Young Child (5-8)",10,"#FF0080"
"Young Child (5-8)",7,"#FF0080"
"Young Child (5-8)",5,"#0000FF"
"Young Child (5-8)",5,"#800080"
"Young Child (5-8)",4,"#008000"
"Young Child (5-8)",3,"#FF0000"
"Young Child (5-8)",2,"#FF0000"
"Young Child (5-8)",6,"#FFA500"
"Young Child (5-8)",8,"#FF0000"
"Adult (36-60)",10,"#FF0080"
"Young Child (5-8)",8,"#0000FF"
"Young Child (5-8)",7,"#FFD700"
"Toddler (0-4)",6,"#FFD700"
"Young Child (5-8)",8,"#0000FF"
"Child (9-12)",9,"#FFA500"
"Toddler (0-4)",4,"#0000FF"
"Young Child (5-8)",7,"#800080"
"Young Child (5-8)",7,"#FFD700"
"Toddler (0-4)",8,"#0000FF"
"Toddler (0-4)",8,"#0000FF"
"Adult (36-60)",8,"#800080"
"Child (9-12)",10,"#008000"
"Toddler (0-4)",6,"#FF0000"
"Young Child (5-8)",8,"#0000FF"
"Young Child (5-8)",8,"#FFA500"
"Young Child (5-8)",7,"#008000"
"Child (9-12)",8,"#FF0080"
"Senior (70+)",8,"#800080"
"Young Adult (20-35)",10,"#0000FF"
"Adult (36-60)",10,"#008000"
"Adult (36-60)",10,"#0000FF"
"Young Child (5-8)",8,"#008000"
"Young Child (5-8)",10,"#0000FF"
"Young Child (5-8)",10,"#0000FF"
"Child (9-12)",7,"#FF0080"
"Child (9-12)",7,"#008000"
"Young Child (5-8)",8,"#008000"
"Toddler (0-4)",6,"#0000FF"
"Young Child (5-8)",8,"#0000FF"
"Adult (36-60)",10,"#0000FF"
"Young Child (5-8)",7,"#FF0000"
"Toddler (0-4)",9,"#008000"
"Young Child (5-8)",7,"#FFD700"
"Young Child (5-8)",9,"#0000FF"
"Child (9-12)",7,"#FF0000"
"Young Child (5-8)",8,"#FF0000"
"Adult (36-60)",9,"#FFD700"
"Young Child (5-8)",9,"#FFA500"
"Young Child (5-8)",6,"#FF0000"
"Toddler (0-4)",5,"#0000FF"
"Young Child (5-8)",9,"#FF0000"
"Child (9-12)",8,"#800080"
"Young Child (5-8)",9,"#800080"
"Young Child (5-8)",8,"#FFD700"
"Young Adult (20-35)",10,"#008000"
"Toddler (0-4)",7,"#800080"
"Young Child (5-8)",8,"#FF0000"
"Child (9-12)",8,"#008000"
"Toddler (0-4)",6,"#008000"
"Child (9-12)",8,"#0000FF"
"Child (9-12)",9,"#008000"
"Child (9-12)",10,"#FF0000"
"Child (9-12)",10,"#008000"
"Child (9-12)",10,"#0000FF"
"Teen (13-19)",10,"#800080"
"Young Child (5-8)",7,"#800080"
"Young Child (5-8)",7,"#FF0080"
"Young Adult (20-35)",10,"#0000FF"
"Young Child (5-8)",6,"#800080"
"Child (9-12)",6,"#0000FF"
"Young Child (5-8)",6,"#FF0080"
"Young Child (5-8)",7,"#008000"
"Young Child (5-8)",8,"#FFD700"
"Young Child (5-8)",5,"#FF0000"
"Older Adult (61-70)",9,"#008000"
"Young Child (5-8)",6,"#FF0080"
"Child (9-12)",9,"#800080"
"Child (9-12)",10,"#FFD700"
"Young Child (5-8)",8,"#0000FF"
"Child (9-12)",10,"#800080"
"Child (9-12)",8,"#800080"
"Senior (70+)",10,"#008000"
"Young Child (5-8)",9,"#FF0080"
"Child (9-12)",7,"#800080"
"Young Child (5-8)",8,"#0000FF"
"Child (9-12)",10,"#0000FF"
"Teen (13-19)",8,"#0000FF"
"Young Child (5-8)",10,"#FF0000"
"Young Child (5-8)",8,"#FF0000"
"Young Child (5-8)",8,"#0000FF"
"Toddler (0-4)",6,"#800080"
"Young Child (5-8)",9,"#FF0000"
"Young Child (5-8)",9,"#800080"
"Child (9-12)",9,"#FF0000"
"Young Child (5-8)",8,"#0000FF"
"Young Child (5-8)",8,"#FF0000"
"Young Child (5-8)",10,"#FFA500"
"Young Child (5-8)",7,"#0000FF"
"Young Child (5-8)",8,"#0000FF"
"Young Child (5-8)",10,"#FF0080"
"Young Child (5-8)",7,"#0000FF"
"Young Child (5-8)",8,"#800080"
"Toddler (0-4)",5,"#800080"
"Young Child (5-8)",7,"#FF0000"
"Child (9-12)",8,"#0000FF"
"Child (9-12)",8,"#008000"
"Toddler (0-4)",6,"#800080"
"Toddler (0-4)",5,"#FF0000"
"Young Child (5-8)",9,"#FF0000"
"Young Child (5-8)",6,"#0000FF"
"Child (9-12)",8,"#0000FF"
"Child (9-12)",6,"#800080"
"Toddler (0-4)",5,"#0000FF"
"Child (9-12)",9,"#FFA500"
"Young Child (5-8)",8,"#0000FF"
"Young Child (5-8)",7,"#FF0000"
"Child (9-12)",7,"#FF0080"
"Child (9-12)",9,"#FFA500"
"Adult (36-60)",10,"#FFA500"
"Child (9-12)",10,"#0000FF"
"Adult (36-60)",10,"#0000FF"
"Child (9-12)",7,"#0000FF"
"Child (9-12)",9,"#FF0000"
"Child (9-12)",9,"#008000"
"Child (9-12)",10,"#800080"
"Young Child (5-8)",9,"#FFD700"
"Senior (70+)",8,"#800080"
"Toddler (0-4)",6,"#FF0000"
"Toddler (0-4)",7,"#800080"
"Adult (36-60)",4,"#0000FF"
"Young Adult (20-35)",6,"#FF0000"
"Adult (36-60)",7,"#008000"
"Young Adult (20-35)",6,"#FFA500"
"Young Child (5-8)",6,"#800080"
"Toddler (0-4)",8,"#FFD700"
"Toddler (0-4)",5,"#FF0080"
"Young Adult (20-35)",5,"#008000"
"Young Child (5-8)",7,"#FF0080"
"Toddler (0-4)",7,"#FFA500"
"Young Adult (20-35)",7,"#800080"
"Adult (36-60)",6,"#FF0080"
"Teen (13-19)",8,"#800080"
"Teen (13-19)",6,"#FF0080"
"Teen (13-19)",5,"#800080"
"Teen (13-19)",6,"#FF0080"
"Teen (13-19)",5,"#008000"
"Toddler (0-4)",5,"#008000"
"Toddler (0-4)",6,"#FF0080"
"Young Adult (20-35)",6,"#FFA500"
"Toddler (0-4)",7,"#FFD700"
"Young Adult (20-35)",6,"#FF0080"
"Young Adult (20-35)",8,"#FF0000"
"Teen (13-19)",6,"#FF0080"
"Teen (13-19)",8,"#800080"
"Adult (36-60)",7,"#FF0080"
"Young Adult (20-35)",7,"#0000FF"
"Adult (36-60)",8,"#800080"
"Adult (36-60)",10,"#0000FF"
"Teen (13-19)",8,"#FFA500"
"Young Child (5-8)",7,"#0000FF"
"Young Adult (20-35)",8,"#FF0000"
"Teen (13-19)",8,"#800080"
"Young Adult (20-35)",5,"#FF0080"
"Young Adult (20-35)",7,"#0000FF"
"Older Adult (61-70)",7,"#008000"
"Older Adult (61-70)",6,"#800080"
"Senior (70+)",5,"#FF0080"
"Young Child (5-8)",6,"#008000"
"Child (9-12)",9,"#008000"
"Child (9-12)",9,"#FFA500"
"Adult (36-60)",10,"#0000FF"
"Adult (36-60)",10,"#008000"
"Child (9-12)",7,"#0000FF"
"Child (9-12)",9,"#008000"
"Child (9-12)",6,"#FFD700"
"Toddler (0-4)",7,"#FF0000"
"Adult (36-60)",9,"#800080"
"Toddler (0-4)",8,"#0000FF"
"Young Child (5-8)",9,"#0000FF"
"Adult (36-60)",10,"#FF0000"
"Teen (13-19)",8,"#FF0080"
"Adult (36-60)",10,"#800080"
"Young Child (5-8)",10,"#FF0080"
"Young Child (5-8)",7,"#800080"
"Adult (36-60)",10,"#0000FF"
"Adult (36-60)",10,"#FFA500"
"Senior (70+)",10,"#0000FF"
"Senior (70+)",9,"#0000FF"
"Young Adult (20-35)",10,"#FF0000"
"Young Child (5-8)",5,"#800080"
"Young Child (5-8)",5,"#FF0000"
"Teen (13-19)",10,"#0000FF"
"Adult (36-60)",10,"#FFD700"
"Teen (13-19)",9,"#008000"
"Child (9-12)",9,"#008000"
"Young Child (5-8)",9,"#008000"
"Adult (36-60)",8,"#FFD700"
"Adult (36-60)",10,"#0000FF"
"Young Child (5-8)",9,"#FFA500"
"Adult (36-60)",10,"#0000FF"
"Toddler (0-4)",6,"#0000FF"
"Toddler (0-4)",6,"#008000"
"Young Child (5-8)",8,"#008000"
"Child (9-12)",10,"#0000FF"
"Older Adult (61-70)",8,"#0000FF"
"Adult (36-60)",8,"#0000FF"
"Adult (36-60)",9,"#800080"
"Young Child (5-8)",10,"#0000FF"
"Older Adult (61-70)",10,"#008000"
"Older Adult (61-70)",10,"#800080"
"Young Child (5-8)",10,"#008000"
"Toddler (0-4)",10,"#FF0080"
"Toddler (0-4)",5,"#008000"
"Child (9-12)",8,"#FF0080"
"Adult (36-60)",8,"#FF0000"
"Child (9-12)",9,"#800080"
"Child (9-12)",9,"#800080"
"Child (9-12)",10,"#800080"
"Senior (70+)",7,"#800080"
"Child (9-12)",9,"#FFA500"
"Child (9-12)",9,"#800080"
"Child (9-12)",10,"#FF0080"
"Adult (36-60)",10,"#0000FF"
"Toddler (0-4)",8,"#FF0080"
"Child (9-12)",10,"#800080"
"Child (9-12)",9,"#800080"
"Child (9-12)",10,"#008000"
"Child (9-12)",9,"#0000FF"
"Adult (36-60)",10,"#FF0000"
"Young Child (5-8)",9,"#0000FF"
"Young Child (5-8)",5,"#FF0080"
"Child (9-12)",7,"#FF0080"
"Young Adult (20-35)",10,"#800080"
"Young Child (5-8)",9,"#008000"
"Young Child (5-8)",6,"#FF0080"
"Child (9-12)",10,"#0000FF"
"Young Child (5-8)",10,"#FF0080"
"Toddler (0-4)",10,"#FF0000"
"Toddler (0-4)",10,"#FF0000"
"Toddler (0-4)",8,"#FF0080"
"Young Child (5-8)",10,"#0000FF"
"Older Adult (61-70)",10,"#0000FF"
"Teen (13-19)",10,"#FF0000"
"Toddler (0-4)",5,"#FFA500"
"Toddler (0-4)",4,"#FFA500"
"Child (9-12)",10,"#0000FF"
"Young Child (5-8)",10,"#0000FF"
"Young Child (5-8)",8,"#FFD700"
"Young Child (5-8)",10,"#0000FF"
"Young Child (5-8)",10,"#008000"
"Child (9-12)",10,"#FFD700"
"Young Child (5-8)",8,"#0000FF"
"Child (9-12)",9,"#FF0000"
"Child (9-12)",9,"#008000"
"Young Child (5-8)",8,"#800080"
"Young Child (5-8)",7,"#0000FF"
"Child (9-12)",10,"#0000FF"
"Child (9-12)",8,"#FF0000"
"Young Child (5-8)",8,"#FFA500"
"Child (9-12)",9,"#008000"
"Toddler (0-4)",8,"#0000FF"
"Toddler (0-4)",5,"#FF0080"
"Young Child (5-8)",10,"#FFD700"
"Young Child (5-8)",9,"#FF0080"
"Child (9-12)",9,"#008000"
"Child (9-12)",9,"#FFA500"
"Young Child (5-8)",7,"#800080"
"Young Child (5-8)",7,"#800080"
"Toddler (0-4)",8,"#FFA500"
"Young Child (5-8)",10,"#800080"
"Young Child (5-8)",10,"#FF0080"
"Toddler (0-4)",6,"#0000FF"
"Toddler (0-4)",8,"#FF0080"
"Young Child (5-8)",8,"#0000FF"
"Adult (36-60)",10,"#008000"
"Young Child (5-8)",8,"#008000"
"Adult (36-60)",10,"#008000"
"Child (9-12)",10,"#800080"
"Child (9-12)",10,"#0000FF"
"Toddler (0-4)",10,"#FF0000"
"Young Child (5-8)",7,"#0000FF"
"Young Child (5-8)",8,"#800080"
"Young Child (5-8)",8,"#008000"
"Child (9-12)",10,"#800080"
"Child (9-12)",10,"#0000FF"
"Child (9-12)",10,"#800080"
"Child (9-12)",10,"#0000FF"
"Young Child (5-8)",7,"#0000FF"
"Child (9-12)",9,"#FF0000"
"Young Child (5-8)",9,"#0000FF"
"Adult (36-60)",10,"#FFA500"
"Young Adult (20-35)",9,"#FF0080"
"Teen (13-19)",10,"#0000FF"
"Young Child (5-8)",9,"#FF0080"
"Child (9-12)",10,"#008000"
"Child (9-12)",9,"#FF0000"
"Child (9-12)",10,"#FF0000"
"Young Child (5-8)",10,"#FFA500"
"Child (9-12)",10,"#800080"
"Young Child (5-8)",10,"#008000"
"Young Adult (20-35)",9,"#008000"
"Older Adult (61-70)",10,"#FF0080"
"Child (9-12)",10,"#008000"
"Child (9-12)",9,"#FF0000"
"Child (9-12)",9,"#0000FF"
"Adult (36-60)",10,"#FF0000"
"Adult (36-60)",10,"#FF0000"
"Adult (36-60)",10,"#0000FF"
"Adult (36-60)",10,"#0000FF"
"Toddler (0-4)",8,"#FF0000"
"Young Child (5-8)",10,"#FF0000"
"Child (9-12)",9,"#800080"
"Child (9-12)",7,"#800080"
"Young Child (5-8)",8,"#FF0080"
"Adult (36-60)",10,"#800080"
"Teen (13-19)",10,"#FFA500"
"Toddler (0-4)",6,"#FF0080"
"Young Adult (20-35)",10,"#008000"
"Child (9-12)",10,"#0000FF"
"Child (9-12)",6,"#008000"
"Young Child (5-8)",9,"#0000FF"
"Child (9-12)",10,"#FF0000"
"Child (9-12)",9,"#800080"
"Young Child (5-8)",10,"#FF0080"
"Child (9-12)",7,"#800080"
"Adult (36-60)",10,"#FF0080"
"Child (9-12)",10,"#FF0080"
"Adult (36-60)",10,"#800080"
"Young Child (5-8)",9,"#FFA500"
"Child (9-12)",10,"#FF0080"
"Young Child (5-8)",10,"#FF0000"
"Young Child (5-8)",6,"#FF0080"
"Young Child (5-8)",5,"#FF0080"
"Child (9-12)",10,"#0000FF"
"Child (9-12)",10,"#FF0080"
"Young Child (5-8)",10,"#0000FF"
"Young Child (5-8)",5,"#FFA500"
"Young Child (5-8)",8,"#800080"
"Young Child (5-8)",8,"#0000FF"
"Senior (70+)",10,"#FFA500"
"Young Child (5-8)",10,"#FFA500"
"Senior (70+)",10,"#800080"
"Adult (36-60)",10,"#0000FF"
"Young Child (5-8)",10,"#FF0000"
"Child (9-12)",9,"#008000"
"Young Child (5-8)",7,"#008000"
"Young Child (5-8)",8,"#008000"
"Child (9-12)",8,"#0000FF"
"Young Child (5-8)",9,"#008000"
"Teen (13-19)",9,"#008000"
"Child (9-12)",10,"#FF0080"
"Young Child (5-8)",8,"#800080"
"Child (9-12)",8,"#FF0000"
"Teen (13-19)",10,"#0000FF"
"Adult (36-60)",10,"#008000"
"Young Adult (20-35)",10,"#008000"
"Child (9-12)",7,"#0000FF"
"Young Child (5-8)",5,"#FF0000"
"Young Adult (20-35)",10,"#FFD700"
"Young Child (5-8)",8,"#0000FF"
"Young Child (5-8)",9,"#FFD700"
"Child (9-12)",10,"#FF0000"
"Child (9-12)",9,"#008000"
"Child (9-12)",7,"#FF0000"
"Child (9-12)",7,"#FFD700"
"Young Child (5-8)",9,"#800080"
"Child (9-12)",8,"#008000"
"Adult (36-60)",10,"#008000"
"Toddler (0-4)",5,"#FF0080"
"Young Child (5-8)",6,"#008000"
"Young Child (5-8)",9,"#FFD700"
"Adult (36-60)",10,"#800080"
"Young Adult (20-35)",10,"#800080"
"Young Child (5-8)",8,"#FF0080"
"Young Child (5-8)",10,"#FF0000"
"Child (9-12)",9,"#FF0000"
"Teen (13-19)",5,"#FF0000"
"Young Child (5-8)",10,"#0000FF"
"Adult (36-60)",10,"#0000FF"
